name,category,subcategory,brand,description,image_url,tags,status
"Zgjatues 5m me 3 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310955/nearbuy/products/zgjatues_5m_me_3_priza_dhe_celes_3_1_5mm_i_go_93.png,elektrik,active
"Ndricues tavanor LED me kend 36 grade ,30W,4000K ngjyre e bardhe",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310962/nearbuy/products/ndricues_tavanor_led_me_kend_36_grade__30w_40_94.jpg,elektrik,active
Prozhektor LED me sensor PIR 30W 6000K 2700Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310967/nearbuy/products/prozhektor_led_me_sensor_pir_30w_6000k_2700lm_95.jpg,elektrik,active
"Shirit Led RGB, 12V, 50 LED 5 M",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310973/nearbuy/products/shirit_led_rgb__12v__50_led_5_m_96.png,elektrik,active
"Ndricues muri i bardhe me 3 pika 6W, 3000K",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310979/nearbuy/products/ndricues_muri_i_bardhe_me_3_pika_6w__3000k_97.png,elektrik,active
"Spot inkaso LED ED-SON fuqia 24 W, 220 V, 6500 K, 1800 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310985/nearbuy/products/spot_inkaso_led_ed_son_fuqia_24_w__220_v__650_98.png,elektrik,active
"Prozhektor 50W, 6500 K",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310991/nearbuy/products/prozhektor_50w__6500_k_99.png,elektrik,active
"Ndricues muri e zeze me 3 pika 6W, 3000K",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310996/nearbuy/products/ndricues_muri_e_zeze_me_3_pika_6w__3000k_100.jpg,elektrik,active
"Zgjatues kabelli me Celes e Zeze me 3 priza 5m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779311002/nearbuy/products/zgjatues_kabelli_me_celes_e_zeze_me_3_priza_5_101.jpg,elektrik,active
Ndricues magazine led 60cm 36W 6500K 3850Lm,Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779311008/nearbuy/products/ndricues_magazine_led_60cm_36w_6500k_3850lm_102.jpg,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 24 V, 6500 K, 1000 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779311014/nearbuy/products/shirit_led_wellmax_fuqia_8_w___m__24_v__6500__103.png,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 24 V, 4000 K, 1000 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779311019/nearbuy/products/shirit_led_wellmax_fuqia_8_w___m__24_v__4000__104.png,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 12 V, 6500 K, 1000 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779311026/nearbuy/products/shirit_led_wellmax_fuqia_8_w___m__12_v__6500__105.png,elektrik,active
